"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag198",5,5,5,5,5,5,5,5,5,5,5,5
"ag199",5,5,5,5,5,5,5,5,5,5,5,5
"ag200",5,5,5,5,5,5,5,5,5,5,5,5
"ag201",5,5,5,5,5,5,5,5,5,5,5,5
"ag202",5,5,5,5,5,5,5,5,5,5,5,5
"ag204",5,5,5,5,5,5,5,5,5,5,5,5
"ag205",5,5,5,5,5,5,5,5,5,5,5,5
"ag206",5,5,5,5,5,5,5,5,5,5,5,5
"ag207",5,5,5,5,5,5,5,5,5,5,5,5
"ag208",5,5,5,5,5,5,5,5,5,5,5,5
"ag209",5,5,5,5,5,5,5,5,5,5,5,5
"ag210",5,5,5,5,5,5,5,5,5,5,5,5
"ag211",5,5,5,5,5,5,5,5,5,5,5,5
"ag212",5,5,5,5,5,5,5,5,5,5,5,5
"ag213",5,5,5,5,5,5,5,5,5,5,5,5
"ag214",5,5,5,5,5,5,5,5,5,5,5,5
"ag215",5,5,5,5,5,5,5,5,5,5,5,5
"ag216",5,5,5,5,5,5,5,5,5,5,5,5
"ag217",5,5,5,5,5,5,5,5,5,5,5,5
"ag218",5,5,5,5,5,5,5,5,5,5,5,5
"ag219",5,5,5,5,5,5,5,5,5,5,5,5
"ag220",5,5,5,5,5,5,5,5,5,5,5,5
"ag222",5,5,5,5,5,5,5,5,5,5,5,5
"ag223",5,5,5,5,5,5,5,5,5,5,5,5
"ag224",0,5,5,5,5,5,5,5,5,5,5,5
"ag225",5,5,5,5,5,5,5,5,5,5,5,5
"ag226",5,5,5,5,5,5,5,5,5,5,5,5
"ag227",0,5,5,5,5,5,5,5,5,5,5,5
"ag228",5,5,5,5,5,5,5,5,5,5,5,14
"ag230",5,5,5,5,5,5,5,5,5,5,5,5
"ag232",0,0,5,5,5,5,5,5,5,5,5,5
"ag233",5,5,5,5,5,5,5,5,5,5,5,5
"ag235",5,5,5,5,5,5,5,5,5,5,5,5
"ag236",5,5,5,5,5,5,5,5,5,5,5,5
"ag237",5,5,5,5,5,5,5,5,5,5,5,5
"ag238",5,5,5,5,5,5,5,5,5,5,5,5
"ag239",5,5,5,5,5,5,5,5,5,5,5,5
"ag240",5,5,5,5,5,5,5,5,5,5,5,5
"ag241",5,5,5,5,5,5,5,5,5,5,5,5
"ag242",5,5,5,5,5,5,5,5,5,5,5,5
"ag243",5,5,5,5,5,5,5,5,5,5,5,5
"ag244",5,5,5,5,5,5,5,5,5,5,5,5
"ag245",5,5,5,5,5,5,5,5,5,5,5,5
"ag246",5,5,5,5,5,5,5,5,5,5,5,5
"ag247",5,5,5,5,5,5,5,5,5,5,5,5
"ag248",5,5,5,5,5,5,5,5,5,5,5,5
"ag250",5,5,5,5,5,5,5,5,5,5,5,5
"ag251",0,5,5,5,5,5,5,5,5,5,5,5
"ag253",5,5,5,5,5,5,5,5,5,5,5,5
"ag254",5,5,5,5,5,5,5,5,5,5,5,5
"ag255",5,5,5,5,5,5,5,5,5,5,5,5
"ag256",5,5,5,5,5,5,5,5,5,5,5,5
"ag257",5,5,5,5,5,5,5,5,5,5,5,5
"ag258",5,5,5,5,5,5,5,5,5,5,5,5
"ag259",5,5,5,5,5,5,5,5,5,5,5,5
"ag260",5,5,5,5,5,5,5,5,5,5,5,5
"ag261",5,5,5,5,5,5,5,5,5,5,5,5
"ag262",5,5,5,5,5,5,5,5,5,5,5,5
"ag263",5,5,5,5,5,5,5,5,5,5,5,5
"ag264",5,5,5,5,5,5,5,5,5,5,5,5
"ag267",5,5,5,5,5,5,5,5,5,5,5,5
"ag268",5,5,5,5,5,5,5,5,5,5,5,5
"ag269",5,5,5,5,5,5,5,5,5,5,5,5
"ag270",5,5,5,5,5,5,5,5,5,5,5,5
