"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag200",0,0,0,0,0,0,0,0,10,10,10,10
"ag201",0,0,0,0,0,0,0,0,0,11,11,11
"ag202",0,0,0,0,0,0,0,0,0,0,4,4
"ag204",0,0,0,0,0,0,0,7,7,7,7,7
"ag205",0,0,0,0,0,0,0,0,4,4,4,4
"ag206",0,0,0,0,0,0,0,10,10,10,10,10
"ag207",0,0,0,0,0,0,0,4,4,4,4,4
"ag208",0,0,0,0,0,0,0,0,0,0,6,6
"ag209",0,0,0,0,0,0,0,0,0,0,10,10
"ag210",0,0,0,0,0,0,0,0,0,0,8,8
"ag211",0,0,0,0,0,0,0,0,0,0,7,7
"ag212",0,0,0,0,0,0,0,0,14,14,14,14
"ag213",0,0,0,0,0,0,0,0,0,0,8,8
"ag214",0,0,0,0,0,0,0,0,0,0,6,6
"ag215",0,0,0,0,0,0,0,0,0,0,5,5
"ag216",0,0,0,0,0,0,0,0,0,7,7,7
"ag217",0,0,0,0,0,0,0,0,6,6,6,6
"ag218",0,0,0,0,0,0,0,3,3,3,3,3
"ag219",0,0,0,0,0,0,0,0,0,0,0,4
"ag220",0,0,0,0,0,0,0,7,7,7,7,7
"ag222",0,0,0,0,0,0,0,0,0,0,0,12
"ag223",0,0,0,0,0,0,0,0,0,0,5,5
"ag224",0,0,0,0,1,1,1,1,1,1,1,6
"ag225",0,0,0,0,0,0,0,0,0,0,7,7
"ag226",0,0,0,0,0,0,0,5,5,5,5,5
"ag227",0,0,0,0,0,0,0,0,0,0,0,0
"ag228",0,0,0,0,0,0,0,7,7,7,7,7
"ag230",0,0,0,0,0,0,0,0,10,10,10,10
"ag232",0,0,0,0,0,0,0,0,0,0,0,0
"ag233",0,0,0,0,0,0,0,0,0,0,5,5
"ag235",0,0,0,0,0,0,0,0,0,0,0,6
"ag236",0,0,0,0,0,0,0,0,0,0,10,10
"ag237",0,0,0,0,0,0,0,0,0,0,0,0
"ag238",0,0,0,0,0,0,0,0,8,8,8,8
"ag239",0,0,0,0,0,0,0,0,0,0,5,5
"ag240",0,0,0,0,0,0,0,0,0,0,0,0
"ag241",0,0,0,0,0,0,0,0,5,5,5,5
"ag242",0,0,0,0,0,0,0,7,7,7,7,7
