"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag219",0,0,0,0,0,0,0,3,3,3,3,3
"ag220",0,0,0,0,0,0,0,0,0,0,9,9
"ag222",0,0,0,0,0,0,0,6,6,6,6,6
"ag223",0,0,0,0,0,0,0,3,3,3,3,3
"ag224",0,0,0,0,0,0,0,3,3,3,3,3
"ag225",0,0,0,0,0,0,0,4,4,4,4,4
"ag226",0,0,0,0,0,0,0,6,6,6,6,6
"ag227",0,0,0,0,0,0,0,0,4,4,4,4
"ag228",0,0,0,0,0,0,0,0,0,15,15,15
"ag230",0,0,0,0,0,0,0,0,0,0,10,10
"ag232",0,0,0,0,0,0,0,0,0,6,6,6
"ag233",0,0,0,0,0,0,0,2,2,2,2,2
"ag235",0,0,0,0,0,0,0,4,4,4,4,4
"ag236",0,0,0,0,0,0,0,0,0,0,10,10
"ag237",0,0,0,0,0,0,0,4,4,4,4,4
"ag238",0,0,0,0,0,0,0,0,0,0,9,9
"ag239",0,0,0,0,0,0,0,0,0,0,5,5
"ag240",0,0,0,0,0,0,0,3,3,3,3,3
"ag241",0,0,0,0,0,0,0,0,0,0,5,5
"ag242",0,0,0,0,0,0,0,0,0,7,7,7
"ag243",0,0,0,0,0,0,0,3,3,3,3,3
"ag244",0,0,0,0,0,0,0,6,6,6,6,6
"ag245",0,0,0,0,0,0,0,3,3,3,3,3
"ag246",0,0,0,0,0,0,0,0,0,0,14,14
"ag247",0,0,0,0,0,0,0,4,4,4,4,4
"ag248",0,0,0,0,0,0,0,0,0,0,20,20
"ag250",0,0,0,0,0,0,0,2,2,2,2,2
"ag251",0,0,0,0,0,0,0,5,5,5,5,5
"ag253",0,0,0,0,0,0,0,0,0,0,24,24
"ag254",0,0,0,0,0,0,0,0,0,0,16,16
"ag255",0,0,0,0,0,0,0,0,0,0,0,28
"ag256",0,0,0,0,0,0,0,0,0,0,21,21
"ag257",0,0,0,0,0,0,0,0,0,0,9,9
"ag258",0,0,0,0,0,0,0,3,3,3,3,3
"ag259",0,0,0,0,0,0,0,3,3,3,3,3
"ag260",0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,4,4,4,4,4
"ag262",0,0,0,0,0,0,0,0,0,6,6,6
"ag263",0,0,0,0,0,0,0,5,5,5,5,5
"ag264",0,0,0,0,0,0,0,2,2,2,2,2
"ag267",0,0,0,0,0,0,0,0,0,16,16,16
"ag268",0,0,0,0,0,0,0,4,4,4,4,4
"ag269",0,0,0,0,0,0,0,9,9,9,9,9
"ag270",0,0,0,0,0,0,0,0,0,0,8,8
"ag271",0,0,0,0,0,0,0,0,0,0,10,10
"ag272",0,0,0,0,0,0,0,5,5,5,5,5
"ag273",0,0,0,0,0,0,0,0,0,0,5,5
"ag274",0,0,0,0,0,0,0,5,5,5,5,5
"ag276",0,0,0,0,0,0,0,0,0,0,18,18
"ag277",0,0,0,0,0,0,0,0,0,0,6,6
"ag278",0,0,0,0,0,0,0,4,4,4,4,4
"ag279",0,0,0,0,0,0,0,0,0,0,8,8
"ag280",0,0,0,0,0,0,0,1,1,1,1,1
"ag281",0,0,0,0,0,0,0,5,5,5,5,5
"ag282",0,0,0,0,0,0,0,5,5,5,5,5
"ag283",0,0,0,0,0,0,0,3,3,3,3,3
"ag284",0,0,0,0,0,0,0,3,3,3,3,3
"ag285",0,0,0,0,0,0,0,0,0,0,8,8
"ag286",0,0,0,0,0,0,0,0,0,0,9,9
"ag287",0,0,0,0,0,0,0,7,7,7,7,7
"ag288",0,0,0,0,0,0,0,0,0,5,5,5
"ag289",0,0,0,0,0,0,0,7,7,7,7,7
"ag290",0,0,0,0,0,0,0,5,5,5,5,5
"ag291",0,0,0,0,0,0,0,8,8,8,8,8
"ag292",0,0,0,0,0,0,0,0,0,4,4,4
"ag293",0,0,0,0,0,0,0,0,0,0,17,17
"ag294",0,0,0,0,0,0,0,0,0,0,17,17
"ag295",0,0,0,0,0,0,0,5,5,5,5,5
"ag296",0,0,0,0,0,0,0,3,3,3,3,3
"ag297",0,0,0,0,0,0,0,7,7,7,7,7
"ag298",0,0,0,0,0,0,0,5,5,5,5,5
"ag299",0,0,0,0,0,0,0,0,0,0,16,16
