"Year","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
"ag172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"ag174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
"ag176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"ag183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"ag189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
"ag191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26
"ag192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"ag193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
"ag194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
"ag196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ag197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
"ag199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
"ag201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
"ag202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"ag205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
"ag210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
"ag213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
"ag222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
"ag225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
"ag227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag228",0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,38
"ag230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"ag237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
"ag238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17
"ag243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
"ag247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
"ag250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ag251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19
"ag253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27
"ag254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20
"ag255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33
"ag256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
"ag257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"ag259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"ag267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21
"ag268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"ag274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
"ag276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22
"ag277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"ag281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
"ag288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
"ag289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
"ag290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
"ag292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
"ag294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
"ag295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
