"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag259",0,0,0,0,0,0,0,0,0,0,0,0
"ag260",0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,4,4,4,4,4
"ag262",0,0,0,0,0,0,0,0,0,0,12,12
"ag263",0,0,0,0,0,0,0,0,0,0,8,8
"ag264",0,0,0,0,0,0,0,0,0,0,3,3
"ag267",0,0,0,0,0,0,0,0,0,15,15,15
"ag268",0,0,0,0,0,0,0,0,0,0,5,5
"ag269",0,0,0,0,0,0,0,0,0,0,13,13
"ag270",0,0,0,0,0,0,0,0,9,9,9,9
"ag271",0,0,0,0,0,0,0,0,0,11,11,11
"ag272",0,0,0,0,0,0,0,6,6,6,6,6
"ag273",0,0,0,0,0,0,0,0,4,4,4,4
"ag274",0,0,0,0,0,0,0,0,0,0,14,14
"ag276",0,0,0,0,0,0,0,14,14,14,14,14
"ag277",0,0,0,0,0,0,0,6,6,6,6,6
"ag278",0,0,0,0,0,0,0,0,0,0,0,5
"ag279",0,0,0,0,0,0,0,8,8,8,8,8
"ag280",0,0,0,0,0,0,0,0,0,0,0,0
"ag281",0,0,0,0,0,0,0,0,0,0,0,0
"ag282",0,0,0,0,0,0,0,0,0,6,6,6
"ag283",0,0,0,0,0,0,0,0,0,0,0,5
"ag284",0,0,0,0,0,0,0,0,0,0,5,5
"ag285",0,0,0,0,0,0,0,7,7,7,7,7
"ag286",0,0,0,0,0,0,0,0,0,11,11,11
"ag287",0,0,0,0,0,0,0,0,0,11,11,11
"ag288",0,0,0,0,0,0,0,0,5,5,5,5
"ag289",0,0,0,0,0,0,0,0,15,15,15,15
"ag290",0,0,0,0,0,0,0,0,8,8,8,8
"ag291",0,0,0,0,0,0,0,0,0,10,10,10
"ag292",0,0,0,0,0,0,0,3,3,3,3,3
"ag293",0,0,0,0,0,0,0,0,14,14,14,14
"ag294",0,0,0,0,0,0,0,13,13,13,13,13
"ag295",0,0,0,0,0,0,0,0,0,0,7,7
"ag296",0,0,0,0,0,0,0,0,0,0,4,4
"ag297",0,0,0,0,0,0,0,0,0,0,9,9
"ag298",0,0,0,0,0,0,0,5,5,5,5,5
"ag299",0,0,0,0,0,0,0,0,12,12,12,12
