Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag156,0,0,0,0,0,0,0,4,4,4,4,4,18,18,18,18,18,30,30,30
ag157,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,30,30,30,30
ag159,0,0,0,0,0,0,0,4,4,4,4,4,4,20,20,20,20,16,16,34
ag160,0,0,0,0,0,0,1,1,1,1,1,12,12,12,12,12,11,32,32,32
ag161,0,0,0,0,0,0,0,0,3,3,3,3,3,3,12,12,12,12,9,9
ag162,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,5,11
ag163,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,10,10
ag164,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11,11
ag165,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9
ag166,0,0,0,0,0,0,0,0,3,3,3,3,3,3,25,25,25,25,22,45
ag167,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,14,14
ag168,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,10,10,10
ag169,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,11,11,11
ag170,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,22,16,16,16
ag171,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,3,7
ag172,0,0,0,0,0,0,0,3,3,3,3,3,3,10,10,10,10,7,7,15
ag173,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,20,15,15,15
ag174,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11
ag175,0,0,0,0,0,0,0,4,4,4,4,4,14,14,14,14,14,28,28,28
ag176,0,0,0,0,0,0,0,2,2,2,2,2,7,7,7,7,7,12,12,12
ag177,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5,11,11
ag178,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,6,13
ag179,0,0,0,0,0,0,1,1,1,1,1,7,7,7,7,7,6,13,13,13
ag180,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11
