Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag142,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,29,21,21
ag143,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,40,29,29
ag144,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20,20,20
ag145,0,0,0,0,0,0,0,0,20,20,20,20,20,42,42,42,42,67,47,47
ag147,0,0,0,0,0,0,0,0,16,16,16,16,16,38,38,38,38,68,52,52
ag148,0,0,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,52,38
ag149,0,0,0,0,0,0,6,6,6,6,6,17,17,17,17,31,25,25,25,44
ag151,0,0,0,0,0,0,0,0,0,9,9,9,9,19,19,19,19,32,32,23
ag152,0,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,52,38,38
ag153,0,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,24,17,17
ag154,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,28,20,20
ag155,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11
ag156,0,0,0,0,0,0,9,9,9,9,9,22,22,22,22,38,29,29,29,47
ag157,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,45,33,33,33
ag159,0,0,0,0,0,0,0,11,11,11,11,11,26,26,26,26,43,32,32,32
ag160,0,0,0,0,0,0,0,0,14,14,14,14,14,32,32,32,32,54,40,40
ag161,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,28,21,21
ag162,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,7,15
ag163,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag164,0,0,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,24,17
ag165,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,12,12,12,12,21
ag166,0,0,0,0,0,0,0,0,0,19,19,19,19,38,38,38,38,62,62,43
ag167,0,0,0,0,0,0,0,0,7,7,7,7,15,15,15,15,25,25,18,18
ag168,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,15,15
ag169,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,15,15
ag170,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,38,27,27
ag171,0,0,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,7,10
ag172,0,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20
ag173,0,0,0,0,0,0,0,0,0,10,10,10,10,20,20,20,20,33,33,23
ag174,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17
ag175,0,0,0,0,0,0,0,11,11,11,11,11,26,26,26,26,44,33,33,33
ag176,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15,15,15,19,19
ag177,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15,15,15,19
ag178,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15
ag179,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,25,19
ag180,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,16,16,16,16
ag181,0,0,0,0,0,0,0,0,15,15,15,15,30,30,30,30,49,49,34,34
ag182,0,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,30,21
ag183,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,33
ag184,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,20,15,15
ag185,0,0,0,0,0,0,9,9,9,9,9,23,23,23,23,41,32,32,32,57
ag186,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,13
ag188,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,38,29,29
ag189,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,34,24,24,24
ag191,0,0,0,0,0,0,18,18,18,18,18,39,39,39,61,61,43,43,70,70
ag192,0,0,0,0,0,0,0,0,7,7,7,7,15,15,15,15,27,27,20,20
ag193,0,0,0,0,0,0,0,10,10,10,10,10,22,22,22,22,36,26,26,26
ag194,0,0,0,0,0,0,0,6,6,6,6,6,15,15,15,15,15,25,25,25
ag195,0,0,0,0,0,0,0,0,11,11,11,11,11,23,23,23,23,37,26,26
ag196,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19
ag197,0,0,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,34,24
ag198,0,0,0,1,1,1,1,1,1,1,11,11,11,10,10,22,22,22,22,36
ag199,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,36,27,27,27
ag200,0,0,0,0,0,0,0,0,0,12,12,12,12,12,28,28,28,28,51,39
ag201,0,0,0,0,0,0,0,0,12,12,12,12,12,27,27,27,27,45,33,33
ag202,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,14
ag204,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,30,21,21
ag205,0,0,0,0,0,0,0,0,5,5,5,5,5,5,13,13,13,13,18,18
ag206,0,0,0,0,0,0,0,0,0,15,15,15,15,15,32,32,32,32,52,37
ag207,0,0,0,0,0,0,0,0,14,14,14,14,14,30,30,30,30,49,35,35
ag208,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16,16,16,16,20
ag209,0,0,0,0,0,0,0,0,10,10,10,10,10,22,22,22,22,36,26,26
ag210,0,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,29,21
ag211,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19,19,19,31,23
ag212,0,0,0,0,0,0,0,15,15,15,15,30,30,30,30,50,50,35,35,60
ag213,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,28,20
ag214,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,24,18
ag215,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,25
ag216,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,27,19
ag217,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,30,22,22
ag218,0,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,28,23,23
ag219,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11
ag220,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,35,26,26,26
ag222,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,41,29,29
ag223,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,17,17,17,17,30
ag224,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,13,13,13,13
ag225,0,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,32,24
ag226,0,0,0,0,0,0,0,0,9,9,9,9,9,20,20,20,20,33,24,24
ag227,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11
ag228,0,0,0,0,0,0,0,11,11,11,11,11,28,28,28,28,50,39,39,39
ag230,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,42,30,30
ag232,0,0,0,0,0,1,1,1,1,1,1,12,12,12,12,11,27,27,27,27
ag233,0,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15
ag235,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,14,14,14,14,24
ag236,0,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,43,31
ag237,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,15
ag238,0,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,33,23,23
ag239,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,15
ag240,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,17,17,17,17,31
ag241,0,0,0,0,0,0,0,0,6,6,6,6,6,15,15,15,15,26,20,20
ag242,0,0,0,0,0,0,0,9,9,9,9,9,23,23,23,23,42,33,33,54
ag243,0,0,0,0,0,0,0,0,0,11,11,11,11,11,25,25,25,25,42,31
ag244,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,30,21,21
ag245,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11,11
ag246,0,0,0,0,0,0,0,0,17,17,17,17,17,36,36,36,36,58,41,41
ag247,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,25,19
ag248,0,0,0,0,0,0,0,0,18,18,18,18,18,39,39,39,39,64,46,46
ag250,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,29,21,21
ag251,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,36,36,36,56,56
ag253,0,0,0,0,0,0,0,20,20,20,20,41,41,41,41,67,67,47,47,77
ag254,0,0,0,0,0,0,0,12,12,12,12,12,29,29,29,29,49,37,37,37
ag255,0,0,0,0,0,0,0,20,20,20,20,41,41,41,41,69,69,49,79,79
ag256,0,0,0,0,0,0,15,15,15,15,31,31,31,31,53,53,38,62,62,62
ag257,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,39,28,28
ag258,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,16,16,16,16,28
ag259,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11
ag260,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11
ag261,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,18,14,14,14
ag262,0,0,0,0,0,0,0,0,0,12,12,12,12,12,27,27,27,27,44,32
ag263,0,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,30,22
