Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag112,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag113,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag114,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,12,12,12,12
ag117,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag118,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag119,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag120,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag122,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag123,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag124,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag125,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,10,10,10
ag126,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag127,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag128,5,5,5,5,5,5,5,5,5,5,5,5,5,7.5,7.5,7.5,7.5,7.5,10,10
ag129,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag130,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag131,0,0,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,27,27
ag132,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag133,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag134,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,12,18,18,18,18
ag136,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag137,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15
ag139,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,12,12,12,12
ag140,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag141,5,5,5,5,5,5,5,5,5,5,5,5,12.5,12.5,12.5,12.5,15.5,15.5,15.5,18.5
ag142,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag143,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag144,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag145,5,5,5,5,5,5,5,5,5,5,5,5,8.5,8.5,8.5,8.5,11,11,11,11
ag147,5,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,16,16,16,20
ag148,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag149,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,15.5
ag151,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag152,0,0,5,5,5,5,5,5,5,5,5,5,5,15,15,15,15,19.5,19.5,19.5
ag153,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag154,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag155,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag156,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,13.5
ag157,5,5,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,16,16,16
ag159,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,11.5,11.5,11.5,11.5
ag160,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10
ag161,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,15
