Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag109,0,0,3,3,3,3,3,3,3,13,13,13,13,17,17,17,17,19,19,19
ag110,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5.5,5.5,5.5,5.5,7,7
ag111,0,1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,3.5,5.5,5.5,5.5,5.5,8
ag112,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5,5,5,5,9,9,9,9,12.5,12.5
ag113,1,1,1,1,1,1,1,1,5,5,5,5,6,6,6,6,8,8,8,8
ag114,2,2,2,2,2,2,2,7,7,7,7,7,9.5,9.5,9.5,9.5,11.5,11.5,11.5,13.5
ag117,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2,3.5,3.5,3.5,3.5,4
ag118,1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,6,6,6,6,7,7,7,7
ag119,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,6.5,6.5,6.5,6.5,8
ag120,0,1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,7,7
ag122,1,1,1,1,1,1,1,5,5,5,5,6,6,6,6,7.5,7.5,7.5,7.5,7.5
ag123,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5
ag124,1,1,1,1,1,1,1,1,4,4,4,4,4,6.5,6.5,6.5,6.5,8.5,8.5,8.5
ag125,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5,7.5,7.5,7.5,7.5,9,9,9
ag126,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5
ag127,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5.5,5.5,5.5,5.5
ag128,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.5,5.5,5.5,5.5,5.5,7,7,7,7,9.5,9.5,9.5
ag129,1,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5,7.5,7.5,7.5,7.5,10,10,10
ag130,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,6,6,6,6
ag131,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,12,12,12,12,12,18.5,18.5,18.5,28,28
ag132,0,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,5,7
ag133,0,0,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,9,9
ag134,1,1,1,1,1,1,1,1,6.5,6.5,6.5,6.5,6.5,12.5,12.5,12.5,18,18,18,18
ag136,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,6,6
ag137,2,2,2,2,2,2,5.5,5.5,5.5,5.5,5.5,7.5,7.5,7.5,7.5,10,10,10,10,13.5
ag139,2,2,2,2,2,2,2,6.5,6.5,6.5,6.5,6.5,9,9,9,9,11.5,11.5,11.5,11.5
ag140,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2.5,2.5
ag141,3,3,3,3,3,3,9,9,9,9,11.5,11.5,11.5,11.5,13.5,13.5,13.5,13.5,17,17
ag142,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,4.5,4.5,4.5,4.5,5.5,5.5,5.5
ag143,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5,8,8,8,8,10,10,10
ag144,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,4,4,4,4,5,5,5,5
ag145,1,1,1,1,1,1,1,1,7,7,7,7,7,9,9,9,9,11,11,11
