"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag210",0,0,0,0,0,0,0,0,0,8,8,8
"ag211",0,0,0,0,0,0,0,0,0,7,7,7
"ag212",0,0,0,0,0,0,0,0,16,16,16,16
"ag213",0,0,0,0,0,0,0,0,0,8,8,8
"ag214",0,0,0,0,0,0,0,0,0,6,6,6
"ag215",0,0,0,0,0,0,0,0,0,0,6,6
"ag216",0,0,0,0,0,0,0,0,0,7,7,7
"ag217",0,0,0,0,0,0,0,0,7,7,7,7
"ag218",0,0,0,0,0,0,0,4,4,4,4,4
"ag219",0,0,0,0,0,0,0,0,0,0,4,4
"ag220",0,0,0,0,0,0,0,9,9,9,9,9
"ag222",0,0,0,0,0,0,0,0,0,0,13,13
"ag223",0,0,0,0,0,0,0,0,0,5,5,5
"ag224",0,0,0,0,1,1,1,1,1,1,6,6
"ag225",0,0,0,0,0,0,0,0,0,0,8,8
"ag226",0,0,0,0,0,0,0,8,8,8,8,8
"ag227",0,0,0,0,0,0,0,0,0,0,0,5
"ag228",0,0,0,0,0,0,0,11,11,11,11,11
"ag230",0,0,0,0,0,0,0,0,12,12,12,12
"ag232",0,0,0,0,0,0,0,0,0,0,0,10
"ag233",0,0,0,0,0,0,0,0,0,6,6,6
"ag235",0,0,0,0,0,0,0,0,0,0,6,6
"ag236",0,0,0,0,0,0,0,0,0,10,10,10
"ag237",0,0,0,0,0,0,0,0,0,0,0,6
"ag238",0,0,0,0,0,0,0,0,9,9,9,9
"ag239",0,0,0,0,0,0,0,0,0,5,5,5
"ag240",0,0,0,0,0,0,0,0,0,0,0,6
"ag241",0,0,0,0,0,0,0,0,5,5,5,5
"ag242",0,0,0,0,0,0,0,8,8,8,8,8
"ag243",0,0,0,0,0,0,0,0,0,10,10,10
"ag244",0,0,0,0,0,0,0,0,8,8,8,8
"ag245",0,0,0,0,0,0,0,0,0,5,5,5
"ag246",0,0,0,0,0,0,0,0,0,17,17,17
