Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag196,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5
ag197,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag198,0,0,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag199,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag200,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,11.5,11.5,11.5,11.5,11.5
ag201,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag202,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag204,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag205,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag206,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag207,3,3,3,3,3,3,3,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,14
ag208,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag209,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,9
ag210,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag211,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag212,3,3,3,3,3,3,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,14
ag213,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag214,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag215,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
ag216,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag217,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag218,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag219,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag220,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10.5
ag222,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag223,0,0,0,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5
ag224,0,0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
ag225,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag226,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag227,0,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5
ag228,5,5,5,5,5,5,5,5,5,5,5,5,14,14,14,14,14,14,21,21
ag230,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,10.5
ag232,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,9.5,9.5,9.5
ag233,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag235,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag236,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag237,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag238,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,7
ag239,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag240,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag241,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag242,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag243,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
ag244,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag245,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag246,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5
ag247,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag248,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,11,11,11,11,11,11
ag250,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag251,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,12,12,12,12
ag253,3,3,3,3,3,3,5,5,5,5,5,5,5,11.5,11.5,11.5,11.5,11.5,11.5,16
ag254,2,2,2,2,2,2,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,13.5
ag255,4,4,4,4,4,4,4,5,5,5,5,5,5,5,16.5,16.5,16.5,16.5,16.5,16.5
ag256,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,14.5
ag257,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10
ag258,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
ag259,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag260,0,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
ag261,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag262,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,14.5
ag263,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag264,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag267,2,2,2,2,2,2,5,5,5,5,5,5,5,9,9,9,9,9,9,14
ag268,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag269,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,8
ag270,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,7.5
ag271,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag272,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag273,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,7.5
ag274,2,2,2,2,2,2,2,5,5,5,5,5,5,5,9,9,9,9,9,9
ag276,3,3,3,3,3,3,3,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,15
ag277,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag278,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5
ag279,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag280,0,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,13.5,13.5,13.5
ag281,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag282,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag283,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag284,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag285,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag286,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,11
ag287,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5
ag288,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag289,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,9,9,9,9,9,9
ag290,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag291,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag292,0,0,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
ag293,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,13,13,13,13,13,13
ag294,3,3,3,3,3,3,3,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,10.5,10.5
ag295,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag296,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag297,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag298,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag299,5,5,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,10.5,10.5,17
