Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag195,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,25
ag196,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8,8,8
ag197,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,18
ag198,0,0,0,0,0,0,0,0,1,1,1,1,1,8,8,8,8,8,7,15
ag199,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,22
ag200,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,15,15,15,15,14
ag201,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,26
ag202,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7
ag204,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17
ag205,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag206,0,0,0,0,0,0,0,0,1,1,1,1,1,1,13,13,13,13,12,12
ag207,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,32
ag208,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag209,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,22
ag210,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag211,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,9,9,9,9,7
ag212,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,37
ag213,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16
ag214,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag215,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,5,5
ag216,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag217,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16
ag218,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag219,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,7,7,7,4
ag220,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,22
ag222,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,24
ag223,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,7,7,7,7,5
ag224,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8
ag225,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,9,9,9,9,7
ag226,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17
ag227,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,9,9
ag228,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,34,34
ag230,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,24
ag232,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,17,17,17
ag233,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6
ag235,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,7,7,7,7,5
ag236,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,19
ag237,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,8
ag238,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,19
ag239,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag240,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,8,8,8,8,6
ag241,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag242,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
ag243,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag244,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17
ag245,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9
ag246,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,34
ag247,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5
ag248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21
ag250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
ag251,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,23,23,23,23
ag253,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,50
ag254,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,35
ag255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28
